signal_date,execution_date,raw_macro_narrative,strategic_state_U1,strategic_state_U2,strategic_state_U3,strategic_state_U5
2011-09-06,2011-09-07,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-09-07,2011-09-08,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-09-08,2011-09-09,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-09-09,2011-09-12,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-09-12,2011-09-13,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-09-13,2011-09-14,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-09-14,2011-09-15,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-09-15,2011-09-16,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-09-16,2011-09-19,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-09-19,2011-09-20,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-09-20,2011-09-21,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-09-21,2011-09-22,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-09-22,2011-09-23,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-09-23,2011-09-26,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-09-26,2011-09-27,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-09-27,2011-09-28,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-09-28,2011-09-29,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-09-29,2011-09-30,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-09-30,2011-10-03,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-10-03,2011-10-04,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-10-04,2011-10-05,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-10-05,2011-10-06,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-10-06,2011-10-07,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-10-07,2011-10-10,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-10-10,2011-10-11,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-10-11,2011-10-12,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-10-12,2011-10-13,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-10-13,2011-10-14,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-10-14,2011-10-17,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-10-17,2011-10-18,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-10-18,2011-10-19,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-10-19,2011-10-20,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-10-20,2011-10-21,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-10-21,2011-10-24,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-10-24,2011-10-25,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-10-25,2011-10-26,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-10-26,2011-10-27,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-10-27,2011-10-28,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-10-28,2011-10-31,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-10-31,2011-11-01,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-11-01,2011-11-02,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-11-02,2011-11-03,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-11-03,2011-11-04,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-11-04,2011-11-07,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-11-07,2011-11-08,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-11-08,2011-11-09,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-11-09,2011-11-10,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-11-10,2011-11-11,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-11-11,2011-11-14,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-11-14,2011-11-15,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-11-15,2011-11-16,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-11-16,2011-11-17,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-11-17,2011-11-18,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-11-18,2011-11-21,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-11-21,2011-11-22,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-11-22,2011-11-23,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-11-23,2011-11-25,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-11-25,2011-11-28,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-11-28,2011-11-29,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-11-29,2011-11-30,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-11-30,2011-12-01,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-12-01,2011-12-02,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-12-02,2011-12-05,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-12-05,2011-12-06,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-12-06,2011-12-07,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-12-07,2011-12-08,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-12-08,2011-12-09,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-12-09,2011-12-12,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-12-12,2011-12-13,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-12-13,2011-12-14,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-12-14,2011-12-15,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-12-15,2011-12-16,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-12-16,2011-12-19,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-12-19,2011-12-20,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-12-20,2011-12-21,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-12-21,2011-12-22,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-12-22,2011-12-23,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-12-23,2011-12-27,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-12-27,2011-12-28,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-12-28,2011-12-29,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-12-29,2011-12-30,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2011-12-30,2012-01-03,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-01-03,2012-01-04,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-01-04,2012-01-05,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-01-05,2012-01-06,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-01-06,2012-01-09,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-01-09,2012-01-10,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-01-10,2012-01-11,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-01-11,2012-01-12,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-01-12,2012-01-13,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-01-13,2012-01-17,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-01-17,2012-01-18,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-01-18,2012-01-19,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-01-19,2012-01-20,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-01-20,2012-01-23,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-01-23,2012-01-24,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-01-24,2012-01-25,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-01-25,2012-01-26,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-01-26,2012-01-27,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-01-27,2012-01-30,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-01-30,2012-01-31,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-01-31,2012-02-01,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-02-01,2012-02-02,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-02-02,2012-02-03,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-02-03,2012-02-06,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-02-06,2012-02-07,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-02-07,2012-02-08,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-02-08,2012-02-09,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-02-09,2012-02-10,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-02-10,2012-02-13,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-02-13,2012-02-14,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-02-14,2012-02-15,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-02-15,2012-02-16,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-02-16,2012-02-17,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-02-17,2012-02-21,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-02-21,2012-02-22,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-02-22,2012-02-23,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-02-23,2012-02-24,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-02-24,2012-02-27,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-02-27,2012-02-28,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-02-28,2012-02-29,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-02-29,2012-03-01,STAGFLATION_RISK,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-03-01,2012-03-02,STAGFLATION_RISK,STAGFLATION_RISK,STAGFLATION_RISK,STAGFLATION_RISK,STAGFLATION_RISK
2012-03-02,2012-03-05,UNKNOWN_TRANSITION,STAGFLATION_RISK,STAGFLATION_RISK,STAGFLATION_RISK,STAGFLATION_RISK
2012-03-05,2012-03-06,CREDIT_STRESS,STAGFLATION_RISK,STAGFLATION_RISK,STAGFLATION_RISK,STAGFLATION_RISK
2012-03-06,2012-03-07,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-03-07,2012-03-08,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-03-08,2012-03-09,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-03-09,2012-03-12,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-03-12,2012-03-13,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-03-13,2012-03-14,STAGFLATION_RISK,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-03-14,2012-03-15,TIGHTENING_GROWTH_SCARE,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-03-15,2012-03-16,UNKNOWN_TRANSITION,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-03-16,2012-03-19,REFLATION,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-03-19,2012-03-20,REFLATION,REFLATION,REFLATION,REFLATION,REFLATION
2012-03-20,2012-03-21,UNKNOWN_TRANSITION,REFLATION,REFLATION,REFLATION,REFLATION
2012-03-21,2012-03-22,UNKNOWN_TRANSITION,UNKNOWN_TRANSITION,REFLATION,REFLATION,REFLATION
2012-03-22,2012-03-23,UNKNOWN_TRANSITION,UNKNOWN_TRANSITION,UNKNOWN_TRANSITION,REFLATION,REFLATION
2012-03-23,2012-03-26,POLICY_EASING,UNKNOWN_TRANSITION,UNKNOWN_TRANSITION,REFLATION,REFLATION
2012-03-26,2012-03-27,REFLATION,UNKNOWN_TRANSITION,UNKNOWN_TRANSITION,REFLATION,REFLATION
2012-03-27,2012-03-28,UNKNOWN_TRANSITION,UNKNOWN_TRANSITION,UNKNOWN_TRANSITION,REFLATION,REFLATION
2012-03-28,2012-03-29,TIGHTENING_GROWTH_SCARE,UNKNOWN_TRANSITION,UNKNOWN_TRANSITION,REFLATION,REFLATION
2012-03-29,2012-03-30,CREDIT_STRESS,UNKNOWN_TRANSITION,UNKNOWN_TRANSITION,REFLATION,REFLATION
2012-03-30,2012-04-02,REFLATION,UNKNOWN_TRANSITION,UNKNOWN_TRANSITION,REFLATION,REFLATION
2012-04-02,2012-04-03,UNKNOWN_TRANSITION,UNKNOWN_TRANSITION,UNKNOWN_TRANSITION,REFLATION,REFLATION
2012-04-03,2012-04-04,TIGHTENING_GROWTH_SCARE,UNKNOWN_TRANSITION,UNKNOWN_TRANSITION,REFLATION,REFLATION
2012-04-04,2012-04-05,UNKNOWN_TRANSITION,UNKNOWN_TRANSITION,UNKNOWN_TRANSITION,REFLATION,REFLATION
2012-04-05,2012-04-09,CREDIT_STRESS,UNKNOWN_TRANSITION,UNKNOWN_TRANSITION,REFLATION,REFLATION
2012-04-09,2012-04-10,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-04-10,2012-04-11,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-04-11,2012-04-12,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-04-12,2012-04-13,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-04-13,2012-04-16,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-04-16,2012-04-17,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-04-17,2012-04-18,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-04-18,2012-04-19,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-04-19,2012-04-20,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-04-20,2012-04-23,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-04-23,2012-04-24,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-04-24,2012-04-25,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-04-25,2012-04-26,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-04-26,2012-04-27,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-04-27,2012-04-30,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-04-30,2012-05-01,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-05-01,2012-05-02,STAGFLATION_RISK,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-05-02,2012-05-03,UNKNOWN_TRANSITION,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-05-03,2012-05-04,UNKNOWN_TRANSITION,UNKNOWN_TRANSITION,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-05-04,2012-05-07,UNKNOWN_TRANSITION,UNKNOWN_TRANSITION,UNKNOWN_TRANSITION,CREDIT_STRESS,CREDIT_STRESS
2012-05-07,2012-05-08,TIGHTENING_GROWTH_SCARE,UNKNOWN_TRANSITION,UNKNOWN_TRANSITION,CREDIT_STRESS,CREDIT_STRESS
2012-05-08,2012-05-09,CREDIT_STRESS,UNKNOWN_TRANSITION,UNKNOWN_TRANSITION,CREDIT_STRESS,CREDIT_STRESS
2012-05-09,2012-05-10,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-05-10,2012-05-11,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-05-11,2012-05-14,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-05-14,2012-05-15,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-05-15,2012-05-16,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-05-16,2012-05-17,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-05-17,2012-05-18,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-05-18,2012-05-21,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-05-21,2012-05-22,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-05-22,2012-05-23,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-05-23,2012-05-24,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-05-24,2012-05-25,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-05-25,2012-05-29,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-05-29,2012-05-30,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-05-30,2012-05-31,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-05-31,2012-06-01,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-06-01,2012-06-04,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-06-04,2012-06-05,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-06-05,2012-06-06,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-06-06,2012-06-07,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-06-07,2012-06-08,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-06-08,2012-06-11,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-06-11,2012-06-12,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-06-12,2012-06-13,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-06-13,2012-06-14,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-06-14,2012-06-15,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-06-15,2012-06-18,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-06-18,2012-06-19,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-06-19,2012-06-20,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-06-20,2012-06-21,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2012-06-21,2012-06-22,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
