date,FCI,REAL_RATE,T10Y2Y,T10YIE,VIX,DFII10,DGS2
2022-04-18,-0.36,,,,,,
2022-04-19,-0.36,,,,,,
2022-04-20,-0.36,,,,,,
2022-04-21,-0.36,,,,,,
2022-04-22,-0.35,,,,,,
2022-04-23,-0.35,,,,,,
2022-04-24,-0.35,,,,,,
2022-04-25,-0.35,,,,,,
2022-04-26,-0.35,,,,,,
2022-04-27,-0.35,,,,,,
2022-04-28,-0.35,,,,,,
2022-04-29,-0.335,,,,,,
2022-04-30,-0.335,,,,,,
2022-05-01,-0.335,,,,,,
2022-05-02,-0.335,,,,,,
2022-05-03,-0.335,,,,,,
2022-05-04,-0.335,,,,,,
2022-05-05,-0.335,,,,,,
2022-05-06,-0.317,,,,,,
2022-05-07,-0.317,,,,,,
2022-05-08,-0.317,,,,,,
2022-05-09,-0.317,,,,,,
2022-05-10,-0.317,,,,,,
2022-05-11,-0.317,,,,,,
2022-05-12,-0.317,,,,,,
2022-05-13,-0.298,,,,,,
2022-05-14,-0.298,,,,,,
2022-05-15,-0.298,,,,,,
2022-05-16,-0.298,,,,,,
2022-05-17,-0.298,,,,,,
2022-05-18,-0.298,,,,,,
2022-05-19,-0.298,,,,,,
2022-05-20,-0.279,,,,,,
2022-05-21,-0.279,,,,,,
2022-05-22,-0.279,,,,,,
2022-05-23,-0.279,,,,,,
2022-05-24,-0.279,,,,,,
2022-05-25,-0.279,,,,,,
2022-05-26,-0.279,,,,,,
2022-05-27,-0.257,,,,,,
2022-05-28,-0.257,,,,,,
2022-05-29,-0.257,,,,,,
2022-05-30,-0.257,,,,,,
2022-05-31,-0.257,,,,,,
2022-06-01,-0.257,,,,,,
2022-06-02,-0.257,,,,,,
2022-06-03,-0.234,,,,,,
2022-06-04,-0.234,,,,,,
2022-06-05,-0.234,,,,,,
2022-06-06,-0.234,,,,,,
2022-06-07,-0.234,,,,,,
2022-06-08,-0.234,,,,,,
2022-06-09,-0.234,,,,,,
2022-06-10,-0.21,,,,,,
2022-06-11,-0.21,,,,,,
2022-06-12,-0.21,,,,,,
2022-06-13,-0.21,,,,,,
2022-06-14,-0.21,,,,,,
2022-06-15,-0.21,,,,,,
2022-06-16,-0.21,,,,,,
2022-06-17,-0.186,,,,,,
2022-06-18,-0.186,,,,,,
2022-06-19,-0.186,,,,,,
2022-06-20,-0.186,,,,,,
2022-06-21,-0.186,,,,,,
2022-06-22,-0.186,,,,,,
2022-06-23,-0.186,,,,,,
2022-06-24,-0.17,,,,,,
2022-06-25,-0.17,,,,,,
2022-06-26,-0.17,,,,,,
2022-06-27,-0.17,,,,,,
2022-06-28,-0.17,,,,,,
2022-06-29,-0.17,,,,,,
2022-06-30,-0.17,,,,,,
2022-07-01,-0.164,,,,,,
2022-07-02,-0.164,,,,,,
2022-07-03,-0.164,,,,,,
2022-07-04,-0.164,,,,,,
2022-07-05,-0.164,,,,,,
2022-07-06,-0.164,,,,,,
2022-07-07,-0.164,,,,,,
2022-07-08,-0.167,,,,,,
2022-07-09,-0.167,,,,,,
2022-07-10,-0.167,,,,,,
2022-07-11,-0.167,,,,,,
2022-07-12,-0.167,,,,,,
2022-07-13,-0.167,,,,,,
2022-07-14,-0.167,,,,,,
2022-07-15,-0.181,,,,,,
2022-07-16,-0.181,,,,,,
2022-07-17,-0.181,,,,,,
2022-07-18,-0.181,,,,,,
2022-07-19,-0.181,,,,,,
2022-07-20,-0.181,,,,,,
2022-07-21,-0.181,,,,,,
2022-07-22,-0.199,,,,,,
2022-07-23,-0.199,,,,,,
2022-07-24,-0.199,,,,,,
2022-07-25,-0.199,,,,,,
2022-07-26,-0.199,,,,,,
2022-07-27,-0.199,,,,,,
2022-07-28,-0.199,,,,,,
2022-07-29,-0.218,,,,,,
2022-07-30,-0.218,,,,,,
2022-07-31,-0.218,,,,,,
2022-08-01,-0.218,,,,,,
2022-08-02,-0.218,,,,,,
2022-08-03,-0.218,,,,,,
2022-08-04,-0.218,,,,,,
2022-08-05,-0.231,,,,,,
2022-08-06,-0.231,,,,,,
2022-08-07,-0.231,,,,,,
2022-08-08,-0.231,,,,,,
2022-08-09,-0.231,,,,,,
2022-08-10,-0.231,,,,,,
2022-08-11,-0.231,,,,,,
2022-08-12,-0.238,,,,,,
2022-08-13,-0.238,,,,,,
2022-08-14,-0.238,,,,,,
2022-08-15,-0.238,,,,,,
2022-08-16,-0.238,,,,,,
2022-08-17,-0.238,,,,,,
2022-08-18,-0.238,,,,,,
2022-08-19,-0.236,,,,,,
2022-08-20,-0.236,,,,,,
2022-08-21,-0.236,,,,,,
2022-08-22,-0.236,,,,,,
2022-08-23,-0.236,,,,,,
2022-08-24,-0.236,,,,,,
2022-08-25,-0.236,,,,,,
2022-08-26,-0.224,,,,,,
2022-08-27,-0.224,,,,,,
2022-08-28,-0.224,,,,,,
2022-08-29,-0.224,,,,,,
2022-08-30,-0.224,,,,,,
2022-08-31,-0.224,,,,,,
2022-09-01,-0.224,,,,,,
2022-09-02,-0.203,,,,,,
2022-09-03,-0.203,,,,,,
2022-09-04,-0.203,,,,,,
2022-09-05,-0.203,,,,,,
2022-09-06,-0.203,,,,,,
2022-09-07,-0.203,,,,,,
2022-09-08,-0.203,,,,,,
2022-09-09,-0.177,,,,,,
2022-09-10,-0.177,,,,,,
2022-09-11,-0.177,,,,,,
2022-09-12,-0.177,,,,,,
2022-09-13,-0.177,,,,,,
2022-09-14,-0.177,,,,,,
2022-09-15,-0.177,,,,,,
2022-09-16,-0.15,,,,,,
2022-09-17,-0.15,,,,,,
2022-09-18,-0.15,,,,,,
2022-09-19,-0.15,,,,,,
2022-09-20,-0.15,,,,,,
2022-09-21,-0.15,,,,,,
2022-09-22,-0.15,,,,,,
2022-09-23,-0.124,,,,,,
2022-09-24,-0.124,,,,,,
2022-09-25,-0.124,,,,,,
2022-09-26,-0.124,,,,,,
2022-09-27,-0.124,,,,,,
2022-09-28,-0.124,,,,,,
2022-09-29,-0.124,,,,,,
2022-09-30,-0.105,,,,,,
2022-10-01,-0.105,,,,,,
2022-10-02,-0.105,,,,,,
2022-10-03,-0.105,,,,,,
2022-10-04,-0.105,,,,,,
2022-10-05,-0.105,,,,,,
2022-10-06,-0.105,,,,,,
2022-10-07,-0.098,,,,,,
2022-10-08,-0.098,,,,,,
2022-10-09,-0.098,,,,,,
2022-10-10,-0.098,,,,,,
2022-10-11,-0.098,,,,,,
2022-10-12,-0.098,,,,,,
2022-10-13,-0.098,,,,,,
2022-10-14,-0.099,,,,,,
2022-10-15,-0.099,,,,,,
2022-10-16,-0.099,,,,,,
2022-10-17,-0.099,,,,,,
2022-10-18,-0.099,,,,,,
2022-10-19,-0.099,,,,,,
2022-10-20,-0.099,,,,,,
2022-10-21,-0.11,,,,,,
2022-10-22,-0.11,,,,,,
2022-10-23,-0.11,,,,,,
2022-10-24,-0.11,,,,,,
2022-10-25,-0.11,,,,,,
2022-10-26,-0.11,,,,,,
2022-10-27,-0.11,,,,,,
2022-10-28,-0.124,,,,,,
2022-10-29,-0.124,,,,,,
2022-10-30,-0.124,,,,,,
2022-10-31,-0.124,,,,,,
2022-11-01,-0.124,,,,,,
2022-11-02,-0.124,,,,,,
2022-11-03,-0.124,,,,,,
2022-11-04,-0.142,,,,,,
2022-11-05,-0.142,,,,,,
2022-11-06,-0.142,,,,,,
2022-11-07,-0.142,,,,,,
2022-11-08,-0.142,,,,,,
2022-11-09,-0.142,,,,,,
2022-11-10,-0.142,,,,,,
2022-11-11,-0.159,,,,,,
2022-11-12,-0.159,,,,,,
2022-11-13,-0.159,,,,,,
2022-11-14,-0.159,,,,,,
2022-11-15,-0.159,,,,,,
2022-11-16,-0.159,,,,,,
2022-11-17,-0.159,,,,,,
2022-11-18,-0.172,,,,,,
2022-11-19,-0.172,,,,,,
2022-11-20,-0.172,,,,,,
2022-11-21,-0.172,,,,,,
2022-11-22,-0.172,,,,,,
2022-11-23,-0.172,,,,,,
2022-11-24,-0.172,,,,,,
2022-11-25,-0.18,,,,,,
2022-11-26,-0.18,,,,,,
2022-11-27,-0.18,,,,,,
2022-11-28,-0.18,,,,,,
2022-11-29,-0.18,,,,,,
2022-11-30,-0.18,,,,,,
2022-12-01,-0.18,,,,,,
2022-12-02,-0.185,,,,,,
2022-12-03,-0.185,,,,,,
2022-12-04,-0.185,,,,,,
2022-12-05,-0.185,,,,,,
2022-12-06,-0.185,,,,,,
2022-12-07,-0.185,,,,,,
2022-12-08,-0.185,,,,,,
2022-12-09,-0.188,,,,,,
2022-12-10,-0.188,,,,,,
2022-12-11,-0.188,,,,,,
2022-12-12,-0.188,,,,,,
2022-12-13,-0.188,,,,,,
2022-12-14,-0.188,,,,,,
2022-12-15,-0.188,,,,,,
2022-12-16,-0.195,,,,,,
2022-12-17,-0.195,,,,,,
2022-12-18,-0.195,,,,,,
2022-12-19,-0.195,,,,,,
2022-12-20,-0.195,,,,,,
2022-12-21,-0.195,,,,,,
2022-12-22,-0.195,,,,,,
2022-12-23,-0.205,,,,,,
2022-12-24,-0.205,,,,,,
2022-12-25,-0.205,,,,,,
2022-12-26,-0.205,,,,,,
2022-12-27,-0.205,,,,,,
2022-12-28,-0.205,,,,,,
2022-12-29,-0.205,,,,,,
2022-12-30,-0.222,,,,,,
2022-12-31,-0.222,,,,,,
2023-01-01,-0.222,,,,,,
2023-01-02,-0.222,,,,,,
2023-01-03,-0.222,,,,,,
2023-01-04,-0.222,,,,,,
2023-01-05,-0.222,,,,,,
2023-01-06,-0.244,,,,,,
2023-01-07,-0.244,,,,,,
2023-01-08,-0.244,,,,,,
2023-01-09,-0.244,,,,,,
2023-01-10,-0.244,,,,,,
2023-01-11,-0.244,,,,,,
2023-01-12,-0.244,,,,,,
2023-01-13,-0.269,,,,,,
2023-01-14,-0.269,,,,,,
2023-01-15,-0.269,,,,,,
2023-01-16,-0.269,,,,,,
2023-01-17,-0.269,,,,,,
2023-01-18,-0.269,,,,,,
2023-01-19,-0.269,,,,,,
2023-01-20,-0.289,,,,,,
2023-01-21,-0.289,,,,,,
2023-01-22,-0.289,,,,,,
2023-01-23,-0.289,,,,,,
2023-01-24,-0.289,,,,,,
2023-01-25,-0.289,,,,,,
2023-01-26,-0.289,,,,,,
2023-01-27,-0.306,,,,,,
2023-01-28,-0.306,,,,,,
2023-01-29,-0.306,,,,,,
2023-01-30,-0.306,,,,,,
2023-01-31,-0.306,,,,,,
2023-02-01,-0.306,,,,,,
2023-02-02,-0.306,,,,,,
2023-02-03,-0.313,,,,,,
2023-02-04,-0.313,,,,,,
2023-02-05,-0.313,,,,,,
2023-02-06,-0.313,,,,,,
2023-02-07,-0.313,,,,,,
2023-02-08,-0.313,,,,,,
2023-02-09,-0.313,,,,,,
2023-02-10,-0.309,,,,,,
2023-02-11,-0.309,,,,,,
2023-02-12,-0.309,,,,,,
2023-02-13,-0.309,,,,,,
2023-02-14,-0.309,,,,,,
2023-02-15,-0.309,,,,,,
2023-02-16,-0.309,,,,,,
2023-02-17,-0.294,,,,,,
2023-02-18,-0.294,,,,,,
2023-02-19,-0.294,,,,,,
2023-02-20,-0.294,,,,,,
2023-02-21,-0.294,,,,,,
2023-02-22,-0.294,,,,,,
2023-02-23,-0.294,,,,,,
2023-02-24,-0.269,,,,,,
2023-02-25,-0.269,,,,,,
2023-02-26,-0.269,,,,,,
2023-02-27,-0.269,,,,,,
2023-02-28,-0.269,,,,,,
2023-03-01,-0.269,,,,,,
2023-03-02,-0.269,,,,,,
2023-03-03,-0.238,,,,,,
2023-03-04,-0.238,,,,,,
2023-03-05,-0.238,,,,,,
2023-03-06,-0.238,,,,,,
2023-03-07,-0.238,,,,,,
2023-03-08,-0.238,,,,,,
2023-03-09,-0.238,,,,,,
2023-03-10,-0.206,,,,,,
2023-03-11,-0.206,,,,,,
2023-03-12,-0.206,,,,,,
2023-03-13,-0.206,,,,,,
2023-03-14,-0.206,,,,,,
2023-03-15,-0.206,,,,,,
2023-03-16,-0.206,,,,,,
2023-03-17,-0.174,,,,,,
2023-03-18,-0.174,,,,,,
2023-03-19,-0.174,,,,,,
2023-03-20,-0.174,,,,,,
2023-03-21,-0.174,,,,,,
2023-03-22,-0.174,,,,,,
2023-03-23,-0.174,,,,,,
2023-03-24,-0.156,,,,,,
2023-03-25,-0.156,,,,,,
2023-03-26,-0.156,,,,,,
2023-03-27,-0.156,,,,,,
2023-03-28,-0.156,,,,,,
2023-03-29,-0.156,,,,,,
2023-03-30,-0.156,,,,,,
2023-03-31,-0.152,,,,,,
2023-04-01,-0.152,,,,,,
2023-04-02,-0.152,,,,,,
2023-04-03,-0.152,,,,,,
2023-04-04,-0.152,,,,,,
2023-04-05,-0.152,,,,,,
2023-04-06,-0.152,,,,,,
2023-04-07,-0.155,,,,,,
2023-04-08,-0.155,,,,,,
2023-04-09,-0.155,,,,,,
2023-04-10,-0.155,,,,,,
2023-04-11,-0.155,,,,,,
2023-04-12,-0.155,,,,,,
2023-04-13,-0.155,,,,,,
2023-04-14,-0.166,,,,,,
2023-04-15,-0.166,,,,,,
2023-04-16,-0.166,,,,,,
2023-04-17,-0.166,,,,,,
2023-04-18,-0.166,,,,,,
2023-04-19,-0.166,,,,,,
2023-04-20,-0.166,,,,,,
2023-04-21,-0.179,,,,,,
2023-04-22,-0.179,,,,,,
2023-04-23,-0.179,,,,,,
2023-04-24,-0.179,,,,,,
2023-04-25,-0.179,,,,,,
2023-04-26,-0.179,,,,,,
2023-04-27,-0.179,,,,,,
2023-04-28,-0.19,,,,,,
2023-04-29,-0.19,,,,,,
2023-04-30,-0.19,,,,,,
2023-05-01,-0.19,,,,,,
2023-05-02,-0.19,,,,,,
2023-05-03,-0.19,,,,,,
2023-05-04,-0.19,,,,,,
2023-05-05,-0.199,,,,,,
2023-05-06,-0.199,,,,,,
2023-05-07,-0.199,,,,,,
2023-05-08,-0.199,,,,,,
2023-05-09,-0.199,,,,,,
2023-05-10,-0.199,,,,,,
2023-05-11,-0.199,,,,,,
2023-05-12,-0.205,,,,,,
2023-05-13,-0.205,,,,,,
2023-05-14,-0.205,,,,,,
2023-05-15,-0.205,,,,,,
2023-05-16,-0.205,,,,,,
2023-05-17,-0.205,,,,,,
2023-05-18,-0.205,,,,,,
2023-05-19,-0.21,,,,,,
2023-05-20,-0.21,,,,,,
2023-05-21,-0.21,,,,,,
2023-05-22,-0.21,,,,,,
2023-05-23,-0.21,,,,,,
2023-05-24,-0.21,,,,,,
2023-05-25,-0.21,,,,,,
2023-05-26,-0.212,,,,,,
2023-05-27,-0.212,,,,,,
2023-05-28,-0.212,,,,,,
2023-05-29,-0.212,,,,,,
2023-05-30,-0.212,,,,,,
2023-05-31,-0.212,,,,,,
2023-06-01,-0.212,,,,,,
2023-06-02,-0.214,,,,,,
2023-06-03,-0.214,,,,,,
2023-06-04,-0.214,,,,,,
2023-06-05,-0.214,,,,,,
2023-06-06,-0.214,,,,,,
2023-06-07,-0.214,,,,,,
2023-06-08,-0.214,,,,,,
2023-06-09,-0.215,,,,,,
2023-06-10,-0.215,,,,,,
2023-06-11,-0.215,,,,,,
2023-06-12,-0.215,,,,,,
2023-06-13,-0.215,,,,,,
2023-06-14,-0.215,,,,,,
2023-06-15,-0.215,,,,,,
2023-06-16,-0.217,,,,,,
2023-06-17,-0.217,,,,,,
2023-06-18,-0.217,,,,,,
2023-06-19,-0.217,,,,,,
2023-06-20,-0.217,,,,,,
2023-06-21,-0.217,,,,,,
2023-06-22,-0.217,,,,,,
2023-06-23,-0.221,,,,,,
2023-06-24,-0.221,,,,,,
2023-06-25,-0.221,,,,,,
2023-06-26,-0.221,,,,,,
2023-06-27,-0.221,,,,,,
2023-06-28,-0.221,,,,,,
2023-06-29,-0.221,,,,,,
2023-06-30,-0.227,,,,,,
2023-07-01,-0.227,,,,,,
2023-07-02,-0.227,,,,,,
2023-07-03,-0.227,,,,,,
2023-07-04,-0.227,,,,,,
2023-07-05,-0.227,,,,,,
2023-07-06,-0.227,,,,,,
2023-07-07,-0.236,,,,,,
2023-07-08,-0.236,,,,,,
2023-07-09,-0.236,,,,,,
2023-07-10,-0.236,,,,,,
2023-07-11,-0.236,,,,,,
2023-07-12,-0.236,,,,,,
2023-07-13,-0.236,,,,,,
2023-07-14,-0.249,,,,,,
2023-07-15,-0.249,,,,,,
2023-07-16,-0.249,,,,,,
2023-07-17,-0.249,,,,,,
2023-07-18,-0.249,,,,,,
2023-07-19,-0.249,,,,,,
2023-07-20,-0.249,,,,,,
2023-07-21,-0.263,,,,,,
2023-07-22,-0.263,,,,,,
2023-07-23,-0.263,,,,,,
2023-07-24,-0.263,,,,,,
2023-07-25,-0.263,,,,,,
2023-07-26,-0.263,,,,,,
2023-07-27,-0.263,,,,,,
2023-07-28,-0.279,,,,,,
2023-07-29,-0.279,,,,,,
2023-07-30,-0.279,,,,,,
2023-07-31,-0.279,,,,,,
2023-08-01,-0.279,,,,,,
2023-08-02,-0.279,,,,,,
2023-08-03,-0.279,,,,,,
2023-08-04,-0.296,,,,,,
2023-08-05,-0.296,,,,,,
2023-08-06,-0.296,,,,,,
2023-08-07,-0.296,,,,,,
2023-08-08,-0.296,,,,,,
2023-08-09,-0.296,,,,,,
2023-08-10,-0.296,,,,,,
2023-08-11,-0.312,,,,,,
2023-08-12,-0.312,,,,,,
2023-08-13,-0.312,,,,,,
2023-08-14,-0.312,,,,,,
2023-08-15,-0.312,,,,,,
2023-08-16,-0.312,,,,,,
2023-08-17,-0.312,,,,,,
2023-08-18,-0.324,,,,,,
2023-08-19,-0.324,,,,,,
2023-08-20,-0.324,,,,,,
2023-08-21,-0.324,,,,,,
2023-08-22,-0.324,,,,,,
2023-08-23,-0.324,,,,,,
2023-08-24,-0.324,,,,,,
2023-08-25,-0.333,,,,,,
2023-08-26,-0.333,,,,,,
2023-08-27,-0.333,,,,,,
2023-08-28,-0.333,,,,,,
2023-08-29,-0.333,,,,,,
2023-08-30,-0.333,,,,,,
2023-08-31,-0.333,,,,,,
2023-09-01,-0.338,,,,,,
2023-09-02,-0.338,,,,,,
2023-09-03,-0.338,,,,,,
2023-09-04,-0.338,,,,,,
2023-09-05,-0.338,,,,,,
2023-09-06,-0.338,,,,,,
2023-09-07,-0.338,,,,,,
2023-09-08,-0.337,,,,,,
2023-09-09,-0.337,,,,,,
2023-09-10,-0.337,,,,,,
2023-09-11,-0.337,,,,,,
2023-09-12,-0.337,,,,,,
2023-09-13,-0.337,,,,,,
2023-09-14,-0.337,,,,,,
2023-09-15,-0.333,,,,,,
2023-09-16,-0.333,,,,,,
2023-09-17,-0.333,,,,,,
2023-09-18,-0.333,,,,,,
2023-09-19,-0.333,,,,,,
2023-09-20,-0.333,,,,,,
2023-09-21,-0.333,,,,,,
2023-09-22,-0.324,,,,,,
2023-09-23,-0.324,,,,,,
2023-09-24,-0.324,,,,,,
2023-09-25,-0.324,,,,,,
2023-09-26,-0.324,,,,,,
2023-09-27,-0.324,,,,,,
2023-09-28,-0.324,,,,,,
2023-09-29,-0.311,,,,,,
2023-09-30,-0.311,,,,,,
2023-10-01,-0.311,,,,,,
2023-10-02,-0.311,,,,,,
2023-10-03,-0.311,,,,,,
2023-10-04,-0.311,,,,,,
2023-10-05,-0.311,,,,,,
2023-10-06,-0.3,,,,,,
2023-10-07,-0.3,,,,,,
2023-10-08,-0.3,,,,,,
2023-10-09,-0.3,,,,,,
2023-10-10,-0.3,,,,,,
2023-10-11,-0.3,,,,,,
2023-10-12,-0.3,,,,,,
2023-10-13,-0.291,,,,,,
2023-10-14,-0.291,,,,,,
2023-10-15,-0.291,,,,,,
2023-10-16,-0.291,,,,,,
2023-10-17,-0.291,,,,,,
2023-10-18,-0.291,,,,,,
2023-10-19,-0.291,,,,,,
2023-10-20,-0.285,,,,,,
2023-10-21,-0.285,,,,,,
2023-10-22,-0.285,,,,,,
2023-10-23,-0.285,,,,,,
2023-10-24,-0.285,,,,,,
2023-10-25,-0.285,,,,,,
2023-10-26,-0.285,,,,,,
2023-10-27,-0.284,,,,,,
2023-10-28,-0.284,,,,,,
2023-10-29,-0.284,,,,,,
2023-10-30,-0.284,,,,,,
2023-10-31,-0.284,,,,,,
2023-11-01,-0.284,,,,,,
2023-11-02,-0.284,,,,,,
2023-11-03,-0.289,,,,,,
2023-11-04,-0.289,,,,,,
2023-11-05,-0.289,,,,,,
2023-11-06,-0.289,,,,,,
2023-11-07,-0.289,,,,,,
2023-11-08,-0.289,,,,,,
2023-11-09,-0.289,,,,,,
2023-11-10,-0.298,,,,,,
2023-11-11,-0.298,,,,,,
2023-11-12,-0.298,,,,,,
2023-11-13,-0.298,,,,,,
2023-11-14,-0.298,,,,,,
2023-11-15,-0.298,,,,,,
2023-11-16,-0.298,,,,,,
2023-11-17,-0.309,,,,,,
2023-11-18,-0.309,,,,,,
2023-11-19,-0.309,,,,,,
2023-11-20,-0.309,,,,,,
2023-11-21,-0.309,,,,,,
2023-11-22,-0.309,,,,,,
2023-11-23,-0.309,,,,,,
2023-11-24,-0.32,,,,,,
2023-11-25,-0.32,,,,,,
2023-11-26,-0.32,,,,,,
2023-11-27,-0.32,,,,,,
2023-11-28,-0.32,,,,,,
2023-11-29,-0.32,,,,,,
2023-11-30,-0.32,,,,,,
2023-12-01,-0.33,,,,,,
2023-12-02,-0.33,,,,,,
2023-12-03,-0.33,,,,,,
2023-12-04,-0.33,,,,,,
2023-12-05,-0.33,,,,,,
2023-12-06,-0.33,,,,,,
2023-12-07,-0.33,,,,,,
2023-12-08,-0.339,,,,,,
2023-12-09,-0.339,,,,,,
2023-12-10,-0.339,,,,,,
2023-12-11,-0.339,,,,,,
2023-12-12,-0.339,,,,,,
2023-12-13,-0.339,,,,,,
2023-12-14,-0.339,,,,,,
2023-12-15,-0.348,,,,,,
2023-12-16,-0.348,,,,,,
2023-12-17,-0.348,,,,,,
2023-12-18,-0.348,,,,,,
2023-12-19,-0.348,,,,,,
2023-12-20,-0.348,,,,,,
2023-12-21,-0.348,,,,,,
2023-12-22,-0.357,,,,,,
2023-12-23,-0.357,,,,,,
2023-12-24,-0.357,,,,,,
2023-12-25,-0.357,,,,,,
2023-12-26,-0.357,,,,,,
2023-12-27,-0.357,,,,,,
2023-12-28,-0.357,,,,,,
2023-12-29,-0.366,,,,,,
2023-12-30,-0.366,,,,,,
2023-12-31,-0.366,,,,,,
2024-01-01,-0.366,,,,,,
2024-01-02,-0.366,,,,,,
2024-01-03,-0.366,,,,,,
2024-01-04,-0.366,,,,,,
2024-01-05,-0.374,,,,,,
2024-01-06,-0.374,,,,,,
2024-01-07,-0.374,,,,,,
2024-01-08,-0.374,,,,,,
2024-01-09,-0.374,,,,,,
2024-01-10,-0.374,,,,,,
2024-01-11,-0.374,,,,,,
2024-01-12,-0.382,,,,,,
2024-01-13,-0.382,,,,,,
2024-01-14,-0.382,,,,,,
2024-01-15,-0.382,,,,,,
2024-01-16,-0.382,,,,,,
2024-01-17,-0.382,,,,,,
2024-01-18,-0.382,,,,,,
2024-01-19,-0.389,,,,,,
2024-01-20,-0.389,,,,,,
2024-01-21,-0.389,,,,,,
2024-01-22,-0.389,,,,,,
2024-01-23,-0.389,,,,,,
2024-01-24,-0.389,,,,,,
2024-01-25,-0.389,,,,,,
2024-01-26,-0.395,,,,,,
2024-01-27,-0.395,,,,,,
2024-01-28,-0.395,,,,,,
2024-01-29,-0.395,,,,,,
2024-01-30,-0.395,,,,,,
2024-01-31,-0.395,,,,,,
2024-02-01,-0.395,,,,,,
2024-02-02,-0.402,,,,,,
2024-02-03,-0.402,,,,,,
2024-02-04,-0.402,,,,,,
2024-02-05,-0.402,,,,,,
2024-02-06,-0.402,,,,,,
2024-02-07,-0.402,,,,,,
2024-02-08,-0.402,,,,,,
2024-02-09,-0.409,,,,,,
2024-02-10,-0.409,,,,,,
2024-02-11,-0.409,,,,,,
2024-02-12,-0.409,,,,,,
2024-02-13,-0.409,,,,,,
